Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_C2O2 - Gco
O,O,1,1,0,0,8,8,3.44,3.44,0.63,0.63,13.62,13.62,13.62,13.62,1.46,1.46,1.52,1.52,6,6,1,0,8,3.44,0.63,13.62,13.62,1.46,1.52,6,0,6.88,0,1.26,0,3.04,0,27.24,0,2.92,0,12,0,27.24,2.13,11.83,0.4,185.45,2.31,64,36,185.5,0.03073
O,OH,1,2,0,1,8,4.5,3.44,2.82,0.63,0.48,13.62,13.61,13.62,13.02,1.46,1.11,1.52,1.36,6,7,1.5,0.5,6.25,3.13,0.56,13.61,13.32,1.28,1.44,6.5,0.62,6.26,0.15,1.11,0.16,2.88,0.01,27.23,0.35,2.57,-1,13,0.6,26.64,1.65,9.8,0.31,185.31,2.07,39.06,42.25,177.42,0.15131
O,N,1,1,0,0,8,7,3.44,3.04,0.63,0.71,13.62,14.53,13.62,14.53,1.46,-0.07,1.52,1.55,6,5,1,0,7.5,3.24,0.67,14.08,14.08,0.7,1.54,5.5,0.4,6.48,-0.08,1.34,-0.03,3.07,-0.92,28.15,1.53,1.39,1,11,-0.91,28.15,0.48,10.5,0.45,198.13,2.36,56.25,30.25,198.11,
O,NH,1,2,0,1,8,4,3.44,2.62,0.63,0.52,13.62,14.07,13.62,12.8,1.46,0.34,1.52,1.38,6,6,1.5,0.5,6,3.03,0.58,13.84,13.21,0.9,1.45,6,0.82,6.06,0.11,1.15,0.15,2.9,-0.45,27.68,1.12,1.8,0,12,0.82,26.42,0.81,9.18,0.33,191.6,2.1,36,36,174.5,
O,NH2,1,3,0,2,8,3,3.44,2.48,0.63,0.45,13.62,13.91,13.62,10.78,1.46,0.48,1.52,1.32,6,7,2,1,5.5,2.96,0.54,13.76,12.2,0.97,1.42,6.5,0.96,5.92,0.18,1.08,0.2,2.84,-0.29,27.53,0.98,1.94,-1,13,2.84,24.4,0.94,8.76,0.29,189.45,2.01,30.25,42.25,148.84,
O,NH3,1,4,0,3,8,2.5,3.44,2.41,0.63,0.42,13.62,13.83,13.62,10.07,1.46,0.55,1.52,1.29,6,8,2.5,1.5,5.25,2.93,0.53,13.73,11.85,1,1.4,7,1.03,5.85,0.21,1.05,0.23,2.81,-0.21,27.45,0.91,2.01,-2,14,3.55,23.69,1.01,8.56,0.28,188.38,1.97,27.56,49,140.3,
O,C,1,1,0,0,8,6,3.44,2.55,0.63,0.75,13.62,11.26,13.62,11.26,1.46,1.26,1.52,1.7,6,4,1,0,7,3,0.69,12.44,12.44,1.36,1.61,5,0.89,5.99,-0.12,1.38,-0.18,3.22,2.36,24.88,0.2,2.72,2,10,2.36,24.88,1.85,8.97,0.48,154.73,2.59,49,25,154.75,
O,CH,1,2,0,1,8,3.5,3.44,2.38,0.63,0.54,13.62,12.43,13.62,10.64,1.46,1.01,1.52,1.45,6,5,1.5,0.5,5.75,2.91,0.59,13.02,12.13,1.23,1.49,5.5,1.07,5.82,0.09,1.17,0.07,2.97,1.19,26.05,0.45,2.47,1,11,2.98,24.26,1.52,8.45,0.34,169.61,2.21,33.06,30.25,147.14,
O,CH2,1,3,0,2,8,2.67,3.44,2.32,0.63,0.46,13.62,12.82,13.62,10.4,1.46,0.92,1.52,1.37,6,6,2,1,5.33,2.88,0.55,13.22,12.01,1.19,1.44,6,1.12,5.76,0.17,1.09,0.15,2.89,0.8,26.44,0.54,2.38,0,12,3.22,24.02,1.42,8.28,0.3,174.72,2.08,28.44,36,144.24,
O,CH3,1,4,0,3,8,2.25,3.44,2.29,0.63,0.43,13.62,13.01,13.62,9.84,1.46,0.88,1.52,1.33,6,7,2.5,1.5,5.13,2.86,0.53,13.32,11.73,1.17,1.42,6.5,1.15,5.73,0.2,1.06,0.2,2.85,0.6,26.63,0.58,2.34,-1,13,3.78,23.46,1.37,8.2,0.28,177.31,2.02,26.27,42.25,137.59,
