Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_C2O2 - Gco
O,O,1,1,0,0,8,8,3.44,3.44,0.63,0.63,13.62,13.62,13.62,13.62,1.46,1.46,1.52,1.52,6,6,1,0,8,3.44,0.63,13.62,13.62,1.46,1.52,6,0,6.88,0,1.26,0,3.04,0,27.24,0,2.92,0,12,0,27.24,2.13,11.83,0.4,185.45,2.31,64,36,185.5,0.03073
O,OH,1,2,0,1,8,4.5,3.44,2.82,0.63,0.48,13.62,13.61,13.62,13.02,1.46,1.11,1.52,1.36,6,7,1.5,0.5,6.25,3.13,0.56,13.61,13.32,1.28,1.44,6.5,0.62,6.26,0.15,1.11,0.16,2.88,0.01,27.23,0.35,2.57,-1,13,0.6,26.64,1.65,9.8,0.31,185.31,2.07,39.06,42.25,177.42,0.15131
O,Cl,1,1,0,0,8,17,3.44,3.16,0.63,0.99,13.62,12.97,13.62,12.97,1.46,3.61,1.52,1.75,6,7,1,0,12.5,3.3,0.81,13.29,13.3,2.54,1.64,6.5,0.28,6.6,-0.36,1.62,-0.23,3.27,0.65,26.59,-2.15,5.07,-1,13,0.65,26.59,6.43,10.89,0.66,176.69,2.67,156.25,42.25,176.76,0.22257
OH,O,2,1,1,0,4.5,8,2.82,3.44,0.48,0.63,13.61,13.62,13.02,13.62,1.11,1.46,1.36,1.52,7,6,1.5,0.5,6.25,3.13,0.56,13.61,13.32,1.28,1.44,6.5,-0.62,6.26,-0.15,1.11,-0.16,2.88,-0.01,27.23,-0.35,2.57,1,13,-0.6,26.64,1.65,9.8,0.31,185.31,2.07,39.06,42.25,177.42,0.15131
OH,OH,2,2,1,1,4.5,4.5,2.82,2.82,0.48,0.48,13.61,13.61,13.02,13.02,1.11,1.11,1.36,1.36,7,7,2,1,4.5,2.82,0.48,13.61,13.02,1.11,1.36,7,0,5.64,0,0.96,0,2.72,0,27.22,0,2.21,0,14,0,26.04,1.23,7.95,0.23,185.18,1.85,20.25,49,169.52,0.11432
OH,NH3,2,4,1,3,4.5,2.5,2.82,2.41,0.48,0.42,13.61,13.83,13.02,10.07,1.11,0.55,1.36,1.29,7,8,3,2,3.5,2.62,0.45,13.72,11.55,0.83,1.32,7.5,0.41,5.23,0.06,0.9,0.07,2.65,-0.22,27.44,0.56,1.66,-1,15,2.95,23.09,0.68,6.84,0.2,188.24,1.75,12.25,56.25,133.29,0.11222
OH,C,2,1,1,0,4.5,6,2.82,2.55,0.48,0.75,13.61,11.26,13.02,11.26,1.11,1.26,1.36,1.7,7,4,1.5,0.5,5.25,2.69,0.62,12.43,12.14,1.18,1.53,5.5,0.27,5.37,-0.27,1.23,-0.34,3.06,2.35,24.87,-0.16,2.37,3,11,1.76,24.28,1.4,7.21,0.38,154.6,2.34,27.56,30.25,147.38,0.16197
OH,CH,2,2,1,1,4.5,3.5,2.82,2.38,0.48,0.54,13.61,12.43,13.02,10.64,1.11,1.01,1.36,1.45,7,5,2,1,4,2.6,0.51,13.02,11.83,1.06,1.41,6,0.45,5.2,-0.06,1.02,-0.09,2.81,1.18,26.04,0.1,2.12,2,12,2.38,23.66,1.12,6.75,0.26,169.48,1.97,16,36,139.95,0.04689
OH,SH2,2,3,1,2,4.5,6,2.82,2.33,0.48,0.56,13.61,12.52,13.02,10.46,1.11,1.2,1.36,1.4,7,8,2.5,1.5,5.25,2.57,0.52,13.06,11.74,1.15,1.38,7.5,0.49,5.15,-0.08,1.04,-0.04,2.76,1.09,26.13,-0.09,2.3,-1,15,2.56,23.48,1.33,6.62,0.27,170.65,1.9,27.56,56.25,137.83,0.35318
OH,F,2,1,1,0,4.5,9,2.82,3.98,0.48,0.64,13.61,17.42,13.02,17.42,1.11,3.4,1.36,1.47,7,7,1.5,0.5,6.75,3.4,0.56,15.52,15.22,2.25,1.42,7,-1.16,6.8,-0.16,1.12,-0.11,2.83,-3.81,31.03,-2.29,4.51,0,14,-4.4,30.44,5.08,11.56,0.31,240.72,2,45.56,49,231.65,0.26767
