Adsorbate 1,Adsorbate 2,Gco DFT,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Averaged Gco
O,O,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073,0.03073
O,OH,0.15131,0.15131,0.15131,0.15131,0.15131,0.15131,0.15131
O,N,,0.095938236,0.049530737,0.08053717,0.128132924,0.071945228,0.085216859
O,NH,,-0.019133206,0.013328941,0.053869992,0.000173317,0.050778985,0.019803606
O,NH2,,0.148903579,0.150667965,0.077731416,0.170350358,0.151449427,0.139820549
O,NH3,,0.301101029,0.299948692,0.208716676,0.287824482,0.26999703,0.273517582
O,C,,0.046140522,0.065516435,0.051385891,0.107817709,0.068039112,0.067779934
O,CH,,0.017126989,0.023781104,0.038627591,0.091559768,0.018157028,0.037850496
O,CH2,,0.018126445,0.035939559,0.090636298,0.10290619,0.091371059,0.06779591
O,CH3,,0.224458143,0.16799219,0.131422341,0.182603598,0.128415346,0.166978323
O,S,,0.082146078,0.081432857,0.12942408,0.129811391,0.095558792,0.10367464
O,SH,,0.132778868,0.159813598,0.158915147,0.15755786,0.092110634,0.140235221
O,SH2,,0.272855937,0.330657035,0.236267239,0.229860261,0.229615867,0.259851268
O,F,,0.119197972,0.158677801,0.200003147,0.179866403,0.151574895,0.161864044
O,Cl,0.22257,0.22257,0.22257,0.22257,0.22257,0.22257,0.22257
O,Br,,0.180452257,0.181555703,0.186002642,0.215237439,0.188240618,0.190297732
O,I,,0.185312733,0.186820254,0.180130571,0.221388415,0.187301278,0.19219065
OH,O,0.15131,0.15131,0.15131,0.15131,0.15131,0.15131,0.15131
OH,OH,0.11432,0.11432,0.11432,0.11432,0.11432,0.11432,0.11432
OH,N,,0.130203947,0.116749279,0.115786485,0.17910482,0.195198894,0.147408685
OH,NH,,0.132592782,0.051498961,0.141904473,0.107233576,0.059066229,0.098459204
OH,NH2,,0.222281352,0.287369192,0.184296086,0.206694469,0.160481215,0.212224463
OH,NH3,0.11222,0.11222,0.11222,0.11222,0.11222,0.11222,0.11222
OH,C,0.16197,0.16197,0.16197,0.16197,0.16197,0.16197,0.16197
OH,CH,0.04689,0.04689,0.04689,0.04689,0.04689,0.04689,0.04689
OH,CH2,,0.163862005,0.137123004,0.170103252,0.160922483,0.052887853,0.136979719
OH,CH3,,0.178920954,0.166833237,0.144656628,0.142741024,-0.028106077,0.121009154
OH,S,,0.232504979,0.216231093,0.2247352,0.208031237,0.168360367,0.209972575
OH,SH,,0.34626323,0.356796682,0.304929286,0.360851318,0.277648956,0.329297894
OH,SH2,0.35318,0.35318,0.35318,0.35318,0.35318,0.35318,0.35318
OH,F,0.26767,0.26767,0.26767,0.26767,0.26767,0.26767,0.26767
OH,Cl,,0.345802158,0.315251023,0.349772662,0.333454341,0.326060921,0.334068221
OH,Br,,0.303061575,0.319336087,0.325656891,0.311991334,0.250191718,0.302047521
OH,I,,0.349891573,0.36711058,0.344927549,0.357676595,0.353140771,0.354549414
N,O,,0.090902396,0.062311254,0.090172067,0.111502297,0.100627154,0.091103034
N,OH,,0.109136552,0.094707511,0.044271033,0.052494157,0.129563898,0.08603463
N,N,,0.118796282,0.057272278,0.113374412,0.128843009,0.103433631,0.104343922
N,NH,,0.14223893,0.094804592,0.119120672,0.108519852,0.137167498,0.120370309
N,NH2,,0.024919374,0.027489716,0.047830928,0.03037373,0.129247218,0.051972193
N,NH3,,0.21757476,0.172508389,0.180332482,0.191255912,0.198163778,0.191967064
N,C,-0.04161,-0.04161,-0.04161,-0.04161,-0.04161,-0.04161,-0.04161
N,CH,,0.103457995,0.104796618,0.152170375,0.115892448,0.134243146,0.122112116
N,CH2,,0.044717889,0.016988806,0.052740384,0.033377692,0.157970056,0.061158966
N,CH3,0.15794,0.15794,0.15794,0.15794,0.15794,0.15794,0.15794
N,S,0.09243,0.09243,0.09243,0.09243,0.09243,0.09243,0.09243
N,SH,,0.04252797,0.056607768,0.060079396,0.073550127,0.082061432,0.062965339
N,SH2,,0.220260903,0.22438027,0.25306198,0.270585597,0.189124063,0.231482562
N,F,,0.08537849,0.059131373,0.073970973,0.102565825,0.088129058,0.081835144
N,Cl,,0.116975069,0.084697776,0.109099902,0.099470675,0.136491776,0.109347039
N,Br,,0.07377106,0.073236652,0.088852249,0.140060157,0.214460403,0.118076104
N,I,,0.074438915,0.077355713,0.079580136,0.133248314,0.177138701,0.108352356
NH,O,,0.029253628,0.043241415,0.052757751,0.052195463,0.053388778,0.046167407
NH,OH,,0.116390683,0.117012329,0.127560899,0.125852674,0.11222782,0.119808881
NH,N,,0.1288715,0.096718401,0.119568601,0.201917365,0.196560666,0.148727307
NH,NH,,-0.028464532,0.01794306,0.051168706,0.08004573,0.044776674,0.033093928
NH,NH2,0.19509,0.19509,0.19509,0.19509,0.19509,0.19509,0.19509
NH,NH3,,0.161828786,0.154183775,0.100494377,0.117927924,0.128195047,0.132525982
NH,C,,0.119411752,0.109339997,0.145324051,0.171206459,0.134843022,0.136025056
NH,CH,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813
NH,CH2,,0.053608041,0.043472011,0.121738322,0.118480049,0.067479961,0.080955677
NH,CH3,0.13838,0.13838,0.13838,0.13838,0.13838,0.13838,0.13838
NH,S,,0.080810651,0.074058868,0.14672485,0.123795316,0.130254537,0.111128844
NH,SH,,0.098632976,0.075472727,0.088465683,0.159456998,0.103570804,0.105119838
NH,SH2,,0.200420618,0.144477874,0.135593891,0.203077734,0.172258765,0.171165776
NH,F,,0.127565324,0.140161201,0.139353573,0.113075942,0.153145164,0.134660241
NH,Cl,,0.200349972,0.179321513,0.198232949,0.172501922,0.241622105,0.198405692
NH,Br,,0.199483782,0.184362248,0.194130898,0.145960778,0.160007179,0.176788977
NH,I,,0.143789843,0.1522194,0.191830635,0.228754297,0.178217843,0.178962404
NH2,O,,0.162880272,0.158208311,0.152512744,0.177157789,0.162380397,0.162627903
NH2,OH,,0.215384945,0.277182251,0.212443575,0.214732841,0.237365976,0.231421918
NH2,N,,0.179660559,0.174844116,0.136404768,0.176467493,0.156638533,0.164803094
NH2,NH,0.19509,0.19509,0.19509,0.19509,0.19509,0.19509,0.19509
NH2,NH2,,0.156919152,0.152544543,0.10439112,0.091598347,0.031626016,0.107415836
NH2,NH3,,0.163410351,0.184804901,0.122311033,0.105801649,0.053523548,0.125970297
NH2,C,0.22439,0.22439,0.22439,0.22439,0.22439,0.22439,0.22439
NH2,CH,,0.046703659,0.036460537,0.06195531,0.098292783,0.046939008,0.05807026
NH2,CH2,,0.06342911,0.080943786,0.095374905,0.095830575,0.060018588,0.079119392
NH2,CH3,,0.15142265,0.17872408,0.151622504,0.130750597,0.063207634,0.135145493
NH2,S,0.18156,0.18156,0.18156,0.18156,0.18156,0.18156,0.18156
NH2,SH,,0.225191593,0.194134131,0.201565951,0.237192526,0.202501088,0.212117058
NH2,SH2,,0.224812612,0.164016232,0.222034991,0.18624346,0.208656266,0.201152712
NH2,F,,0.317510813,0.348095983,0.339872152,0.321902573,0.29715088,0.32490648
